code,name,market_id,category33_id,category17_id,scale_id
8946,ＡＳＩＡＮ　ＳＴＡＲ,3,8050.0,17.0,
8995,誠建設工業,6,8050.0,17.0,
8999,グランディハウス,1,8050.0,17.0,7.0
9001,東武鉄道,1,5050.0,12.0,4.0
9003,相鉄ホールディングス,1,5050.0,12.0,4.0
9005,東京急行電鉄,1,5050.0,12.0,4.0
9006,京浜急行電鉄,1,5050.0,12.0,4.0
9007,小田急電鉄,1,5050.0,12.0,4.0
9008,京王電鉄,1,5050.0,12.0,4.0
9009,京成電鉄,1,5050.0,12.0,4.0
9010,富士急行,1,5050.0,12.0,6.0
9012,秩父鉄道,3,5050.0,12.0,
9014,新京成電鉄,1,5050.0,12.0,7.0
9017,新潟交通,6,5050.0,12.0,
9020,東日本旅客鉄道,1,5050.0,12.0,1.0
9021,西日本旅客鉄道,1,5050.0,12.0,2.0
9022,東海旅客鉄道,1,5050.0,12.0,1.0
9024,西武ホールディングス,1,5050.0,12.0,4.0
9025,鴻池運輸,1,5050.0,12.0,6.0
9028,ゼロ,6,5050.0,12.0,
9029,ヒガシトゥエンティワン,6,5050.0,12.0,
9031,西日本鉄道,1,5050.0,12.0,4.0
9033,広島電鉄,6,5050.0,12.0,
9034,南総通運,3,5050.0,12.0,
9036,東部ネットワーク,3,5050.0,12.0,
9037,ハマキョウレックス,1,5050.0,12.0,7.0
9039,サカイ引越センター,1,5050.0,12.0,7.0
9041,近鉄グループホールディングス,1,5050.0,12.0,4.0
9042,阪急阪神ホールディングス,1,5050.0,12.0,4.0
9044,南海電気鉄道,1,5050.0,12.0,4.0
9045,京阪ホールディングス,1,5050.0,12.0,4.0
9046,神戸電鉄,1,5050.0,12.0,7.0
9048,名古屋鉄道,1,5050.0,12.0,4.0
9049,京福電気鉄道,6,5050.0,12.0,
9051,センコン物流,3,5050.0,12.0,
9052,山陽電気鉄道,1,5050.0,12.0,7.0
9055,アルプス物流,6,5050.0,12.0,
9057,遠州トラック,3,5050.0,12.0,
9058,トランコム,1,5200.0,12.0,6.0
9059,カンダホールディングス,6,5050.0,12.0,
9060,日本ロジテム,3,5050.0,12.0,
9062,日本通運,1,5050.0,12.0,4.0
9063,岡山県貨物運送,6,5050.0,12.0,
9064,ヤマトホールディングス,1,5050.0,12.0,2.0
9065,山九,1,5050.0,12.0,4.0
9066,日新,1,5200.0,12.0,7.0
9067,丸運,1,5050.0,12.0,7.0
9068,丸全昭和運輸,1,5050.0,12.0,7.0
9069,センコー,1,5050.0,12.0,6.0
9070,トナミホールディングス,1,5050.0,12.0,7.0
9072,ニッコンホールディングス,1,5050.0,12.0,4.0
9073,京極運輸商事,3,5050.0,12.0,
9074,日本石油輸送,1,5050.0,12.0,7.0
9075,福山通運,1,5050.0,12.0,4.0
9076,セイノーホールディングス,1,5050.0,12.0,4.0
9081,神奈川中央交通,1,5050.0,12.0,7.0
9082,大和自動車交通,6,5050.0,12.0,
9083,神姫バス,6,5050.0,12.0,
9086,日立物流,1,5050.0,12.0,6.0
9087,タカセ,3,5050.0,12.0,
9090,丸和運輸機関,1,5050.0,12.0,7.0
9099,Ｃ＆Ｆロジホールディングス,1,5050.0,12.0,7.0
9101,日本郵船,1,5100.0,12.0,4.0
9104,商船三井,1,5100.0,12.0,4.0
9107,川崎汽船,1,5100.0,12.0,4.0
9110,ＮＳユナイテッド海運,1,5100.0,12.0,6.0
9115,明治海運,1,5100.0,12.0,7.0
9119,飯野海運,1,5100.0,12.0,6.0
9127,玉井商船,6,5100.0,12.0,
9130,共栄タンカー,1,5100.0,12.0,7.0
9133,東栄リーファーライン,3,5100.0,12.0,
9171,栗林商船,6,5100.0,12.0,
9173,東海汽船,6,5100.0,12.0,
9176,佐渡汽船,3,5100.0,12.0,
9179,川崎近海汽船,6,5100.0,12.0,
9193,東京汽船,6,5200.0,12.0,
9201,日本航空,1,5150.0,12.0,2.0
9202,ＡＮＡホールディングス,1,5150.0,12.0,2.0
9206,スターフライヤー,6,5150.0,12.0,
9232,パスコ,1,5150.0,12.0,7.0
9233,アジア航測,6,5150.0,12.0,
9301,三菱倉庫,1,5200.0,12.0,4.0
9302,三井倉庫ホールディングス,1,5200.0,12.0,6.0
9303,住友倉庫,1,5200.0,12.0,4.0
9304,澁澤倉庫,1,5200.0,12.0,7.0
9305,ヤマタネ,1,6050.0,13.0,6.0
9306,東陽倉庫,1,5200.0,12.0,7.0
9307,杉村倉庫,6,5200.0,12.0,
9308,乾汽船,1,5100.0,12.0,7.0
9310,日本トランスシティ,1,5200.0,12.0,7.0
9311,アサガミ,6,5200.0,12.0,
9312,ケイヒン,1,5200.0,12.0,7.0
9313,丸八倉庫,6,5200.0,12.0,
9318,アジア開発キャピタル,6,7100.0,16.0,
9319,中央倉庫,1,5200.0,12.0,7.0
9322,川西倉庫,6,5200.0,12.0,
9324,安田倉庫,1,5200.0,12.0,7.0
9351,東洋埠頭,1,5200.0,12.0,7.0
9353,櫻島埠頭,6,5200.0,12.0,
9355,リンコーコーポレーション,6,5200.0,12.0,
9358,宇徳,1,5200.0,12.0,7.0
9360,鈴与シンワート,6,5250.0,10.0,
9361,伏木海陸運送,6,5200.0,12.0,
9362,兵機海運,6,5200.0,12.0,
9363,大運,6,5200.0,12.0,
9364,上組,1,5200.0,12.0,4.0
9365,トレーディア,6,5200.0,12.0,
9366,サンリツ,1,5200.0,12.0,7.0
9367,大東港運,3,5200.0,12.0,
9368,キムラユニティー,1,5200.0,12.0,7.0
9369,キユーソー流通システム,1,5200.0,12.0,7.0
9370,郵船ロジスティクス,1,5200.0,12.0,7.0
9373,ニッコウトラベル,6,9050.0,10.0,
9375,近鉄エクスプレス,1,5200.0,12.0,6.0
9376,ユーラシア旅行社,3,9050.0,10.0,
9377,エージーピー,3,5200.0,12.0,
9380,東海運,1,5200.0,12.0,7.0
9381,エーアイテイー,1,5200.0,12.0,7.0
9384,内外トランスライン,1,5200.0,12.0,7.0
9385,ショーエイコーポレーション,4,3200.0,4.0,
9386,日本コンセプト,3,5200.0,12.0,
9399,新華ホールディングス・リミテッド（新華控股有限公司）,12,5250.0,10.0,
9401,東京放送ホールディングス,1,5250.0,10.0,4.0
9404,日本テレビホールディングス,1,5250.0,10.0,4.0
9405,朝日放送,1,5250.0,10.0,7.0
9408,新潟放送,3,5250.0,10.0,
9409,テレビ朝日ホールディングス,1,5250.0,10.0,4.0
9412,スカパーＪＳＡＴホールディングス,1,5250.0,10.0,6.0
9413,テレビ東京ホールディングス,1,5250.0,10.0,6.0
9414,日本ＢＳ放送,1,5250.0,10.0,7.0
9416,ビジョン,5,5250.0,10.0,
9417,スマートバリュー,3,5250.0,10.0,
9418,ＵＮＥＸＴ,1,5250.0,10.0,7.0
9419,ワイヤレスゲート,1,5250.0,10.0,7.0
9421,エヌジェイホールディングス,3,5250.0,10.0,
9422,コネクシオ,1,5250.0,10.0,7.0
9423,フォーバル・リアルストレート,3,5250.0,10.0,
9424,日本通信,1,5250.0,10.0,6.0
9425,日本テレホン,3,5250.0,10.0,
9428,クロップス,1,5250.0,10.0,7.0
9432,日本電信電話,1,5250.0,10.0,1.0
9433,ＫＤＤＩ,1,5250.0,10.0,1.0
9435,光通信,1,5250.0,10.0,4.0
9436,沖縄セルラー電話,3,5250.0,10.0,
9437,ＮＴＴドコモ,1,5250.0,10.0,1.0
9438,エムティーアイ,1,5250.0,10.0,7.0
9439,エム・エイチ・グループ,3,9050.0,10.0,
9441,ベルパーク,3,5250.0,10.0,
9444,トーシン,3,5250.0,10.0,
9445,フォーバルテレコム,6,5250.0,10.0,
9446,エスケーアイ,3,5250.0,10.0,
9449,ＧＭＯインターネット,1,5250.0,10.0,6.0
9466,アイドママーケティングコミュニケーション,5,5250.0,10.0,
9467,アルファポリス,5,5250.0,10.0,
9468,カドカワ,1,5250.0,10.0,6.0
9470,学研ホールディングス,1,5250.0,10.0,7.0
9474,ゼンリン,1,5250.0,10.0,6.0
9475,昭文社,1,5250.0,10.0,7.0
9476,中央経済社ホールディングス,3,5250.0,10.0,
9478,ＳＥホールディングス・アンド・インキュベーションズ,3,5250.0,10.0,
9479,インプレスホールディングス,1,5250.0,10.0,7.0
9501,東京電力ホールディングス,1,4050.0,11.0,4.0
9502,中部電力,1,4050.0,11.0,2.0
9503,関西電力,1,4050.0,11.0,2.0
9504,中国電力,1,4050.0,11.0,4.0
9505,北陸電力,1,4050.0,11.0,4.0
9506,東北電力,1,4050.0,11.0,4.0
9507,四国電力,1,4050.0,11.0,4.0
9508,九州電力,1,4050.0,11.0,4.0
9509,北海道電力,1,4050.0,11.0,4.0
9511,沖縄電力,1,4050.0,11.0,6.0
9513,電源開発,1,4050.0,11.0,4.0
9514,ファーストエスコ,1,4050.0,11.0,7.0
9517,イーレックス,1,4050.0,11.0,7.0
9531,東京瓦斯,1,4050.0,11.0,2.0
9532,大阪瓦斯,1,4050.0,11.0,2.0
9533,東邦瓦斯,1,4050.0,11.0,4.0
9534,北海道瓦斯,1,4050.0,11.0,7.0
9535,広島ガス,1,4050.0,11.0,7.0
9536,西部瓦斯,1,4050.0,11.0,7.0
9537,北陸瓦斯,6,4050.0,11.0,
9539,京葉瓦斯,6,4050.0,11.0,
9543,静岡ガス,1,4050.0,11.0,7.0
9551,メタウォーター,1,4050.0,11.0,6.0
9600,アイネット,1,5250.0,10.0,7.0
9601,松竹,1,5250.0,10.0,4.0
9602,東宝,1,5250.0,10.0,4.0
9603,エイチ・アイ・エス,1,9050.0,10.0,6.0
9605,東映,1,5250.0,10.0,6.0
9607,ＡＯＩ　Ｐｒｏ．,1,5250.0,10.0,7.0
9608,福山コンサルタント,3,9050.0,10.0,
9610,ウィルソン・ラーニング　ワールドワイド,3,9050.0,10.0,
9612,ラックランド,1,9050.0,10.0,7.0
9613,エヌ・ティ・ティ・データ,1,5250.0,10.0,4.0
9616,共立メンテナンス,1,9050.0,10.0,6.0
9619,イチネンホールディングス,1,9050.0,10.0,7.0
9621,建設技術研究所,1,9050.0,10.0,7.0
9622,スペース,1,9050.0,10.0,7.0
9624,長大,6,9050.0,10.0,
9625,セレスポ,3,9050.0,10.0,
9627,アインホールディングス,1,6100.0,14.0,6.0
9628,燦ホールディングス,1,9050.0,10.0,7.0
9629,ピー・シー・エー,1,5250.0,10.0,7.0
9631,東急レクリエーション,6,9050.0,10.0,
9632,スバル興業,1,9050.0,10.0,7.0
9633,東京テアトル,1,9050.0,10.0,7.0
9635,武蔵野興業,6,9050.0,10.0,
9636,きんえい,6,9050.0,10.0,
9637,オーエス,6,9050.0,10.0,
9639,三協フロンテア,3,9050.0,10.0,
9640,セゾン情報システムズ,3,5250.0,10.0,
9641,サコス,3,9050.0,10.0,
9644,タナベ経営,6,9050.0,10.0,
9647,協和コンサルタンツ,3,9050.0,10.0,
9651,日本プロセス,3,5250.0,10.0,
9656,グリーンランドリゾート,6,9050.0,10.0,
9658,ビジネスブレイン太田昭和,1,5250.0,10.0,7.0
9661,歌舞伎座,6,9050.0,10.0,
9663,ナガワ,1,9050.0,10.0,7.0
9671,よみうりランド,1,9050.0,10.0,7.0
9672,東京都競馬,1,9050.0,10.0,6.0
9674,花月園観光,6,9050.0,10.0,
9675,常磐興産,1,9050.0,10.0,7.0
9678,カナモト,1,9050.0,10.0,6.0
9679,ホウライ,3,9050.0,10.0,
9680,共成レンテム,6,9050.0,10.0,
9681,東京ドーム,1,9050.0,10.0,6.0
9682,ＤＴＳ,1,5250.0,10.0,6.0
9684,スクウェア・エニックス・ホールディングス,1,5250.0,10.0,4.0
9685,ＫＹＣＯＭホールディングス,3,5250.0,10.0,
9686,東洋テック,6,9050.0,10.0,
9687,ＫＳＫ,3,5250.0,10.0,
9691,両毛システムズ,3,5250.0,10.0,
9692,シーイーシー,1,5250.0,10.0,7.0
